"Domain Name","Domain Type",Agency,City,State,"Is Live",SPF,DKIM
BATTLEFIELDMO.GOV,City,"Non-Federal Agency",Battlefield,MO,true,true,false
BAXTERMN.GOV,City,"Non-Federal Agency",Baxter,MN,true,true,false
BAYCOUNTY-MI.GOV,City,"Non-Federal Agency","Bay City",MI,true,false,false
BAYHARBORISLANDS-FL.GOV,City,"Non-Federal Agency","bay harbor islands",FL,true,true,false
BAYSIDE-WI.GOV,City,"Non-Federal Agency",Bayside,WI,true,true,false
BAYSIDEWI.GOV,City,"Non-Federal Agency",Bayside,WI,true,true,false
BAYSTLOUIS-MS.GOV,City,"Non-Federal Agency","Bay St. Louis",MS,true,true,false
BAYVILLENY.GOV,City,"Non-Federal Agency",Bayville,NY,true,true,false
BEACHHAVEN-NJ.GOV,City,"Non-Federal Agency","Beach Haven",NJ,true,true,false
BEAUMONT-CA.GOV,City,"Non-Federal Agency",Beaumont,CA,true,false,false
BEAUMONTTEXAS.GOV,City,"Non-Federal Agency",Beaumont,TX,true,true,false
BEAUXARTS-WA.GOV,City,"Non-Federal Agency","Beaux Arts",WA,true,false,false
BEAVERCREEKOHIO.GOV,City,"Non-Federal Agency",Beavercreek,OH,true,false,false
BEAVERPA.GOV,City,"Non-Federal Agency",Beaver,PA,false,false,false
BEAVERTONOREGON.GOV,City,"Non-Federal Agency",Beaverton,OR,true,true,false
BEAVERTWP-OH.GOV,City,"Non-Federal Agency","North Lima",OH,true,false,false
BECKEMEYERIL.GOV,City,"Non-Federal Agency",Beckemeyer,IL,true,true,false
BEDFORDHEIGHTS.GOV,City,"Non-Federal Agency","Bedford Heights",OH,true,false,false
BEDFORDMA.GOV,City,"Non-Federal Agency",Bedford,MA,true,false,false
BEDFORDNY.GOV,City,"Non-Federal Agency","Bedford Hills",NY,true,false,false
BEDFORDOH.GOV,City,"Non-Federal Agency",Bedford,OH,true,true,false
BEDFORDTX.GOV,City,"Non-Federal Agency",Bedford,TX,true,true,false
BEDFORDVA.GOV,City,"Non-Federal Agency",Bedford,VA,true,true,false
BEECAVETEXAS.GOV,City,"Non-Federal Agency","Bee Cave",TX,true,true,false
BELAIREKS.GOV,City,"Non-Federal Agency","Bel Aire",KS,true,false,false
BELEN-NM.GOV,City,"Non-Federal Agency",Belen,NM,true,true,false
BELLAIRETX.GOV,City,"Non-Federal Agency",Bellaire,TX,true,true,false
BELLAVISTAAR.GOV,City,"Non-Federal Agency","Bella Vista",AR,true,true,false
BELLEAIRBLUFFS-FL.GOV,City,"Non-Federal Agency","Belleair Bluffs",FL,true,false,false
BELLEFONTEPA.GOV,City,"Non-Federal Agency",Bellefonte,PA,false,true,false
BELLEISLEFL.GOV,City,"Non-Federal Agency","Belle Isle",FL,false,false,false
BELLEMEADE-KY.GOV,City,"Non-Federal Agency",Louisville,KY,true,false,false
BELLERIVEACRESMO.GOV,City,"Non-Federal Agency",Normandy,MO,true,false,false
BELLEVUEIA.GOV,City,"Non-Federal Agency",Bellevue,IA,true,true,false
BELLEVUEWA.GOV,City,"Non-Federal Agency",Bellevue,WA,true,false,false
BELMONT-MA.GOV,City,"Non-Federal Agency",Belmont,MA,true,true,false
BELMONT.GOV,City,"Non-Federal Agency",Belmont,CA,true,true,false
BELOITWI.GOV,City,"Non-Federal Agency",Beloit,WI,true,true,false
BELTONPARKSMO.GOV,City,"Non-Federal Agency",Belton,MO,true,false,false
BELTONTEXAS.GOV,City,"Non-Federal Agency",Belton,TX,true,true,false
BENBROOK-TX.GOV,City,"Non-Federal Agency",Benbrook,TX,true,true,false
BENDOREGON.GOV,City,"Non-Federal Agency",Bend,OR,true,true,false
BENSALEMPA.GOV,City,"Non-Federal Agency",Bensalem,PA,true,true,false
BENSONAZ.GOV,City,"Non-Federal Agency",Benson,AZ,true,false,false
BENTONCHARTERTOWNSHIP-MI.GOV,City,"Non-Federal Agency","Benton Harbor",MI,false,false,false
BENTONIL.GOV,City,"Non-Federal Agency",Benton,IL,true,false,false
BEREAKY.GOV,City,"Non-Federal Agency",Berea,KY,true,true,false
BERKELEYHEIGHTSTWPNJ.GOV,City,"Non-Federal Agency","Berkeley Heights",NJ,true,true,false
BERLINMD.GOV,City,"Non-Federal Agency",Berlin,MD,true,true,false
BERLINNH.GOV,City,"Non-Federal Agency",Berlin,NH,true,false,false
BERNCO.GOV,City,"Non-Federal Agency",Albuquerque,NM,true,true,false
BERRYVILLEVA.GOV,City,"Non-Federal Agency",Berryville,VA,true,true,false
BERTHOLD-ND.GOV,City,"Non-Federal Agency",Berthold,ND,true,true,false
BERWYN-IL.GOV,City,"Non-Federal Agency",Berwyn,IL,true,true,false
BERWYNHEIGHTSMD.GOV,City,"Non-Federal Agency","Berwyn Heights",MD,true,true,false
BETHANYBEACH-DE.GOV,City,"Non-Federal Agency","Bethany Beach",DE,true,false,false
BETHEL-CT.GOV,City,"Non-Federal Agency",Bethel,CT,true,true,false
BETHEL-OH.GOV,City,"Non-Federal Agency",Bethel,OH,true,true,false
